dataset,split,baseline,index_name,index_path,encoder,nbits,k,ncells,centroid_score_threshold,ndocs,num_queries,elapsed_sec,qps,ndcg_10,map_10,recall_10,p_10,ndcg_100,map_100,recall_100,p_100,mrr_10,mrr_100
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,1,0.5,256,1000,22.752,43.953,0.15055,0.08631,0.15683,0.0774,0.19988,0.09902,0.29165,0.01438,0.27105,0.28165
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,2,0.5,256,1000,36.073,27.721,0.14962,0.08588,0.15578,0.0769,0.19831,0.09843,0.28875,0.01423,0.26928,0.28008
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,4,0.5,256,1000,29.346,34.076,0.14925,0.08576,0.15518,0.0766,0.19769,0.09821,0.28755,0.01417,0.26881,0.27961
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,6,0.5,256,1000,35.51,28.161,0.14936,0.08579,0.15538,0.0767,0.19746,0.0982,0.28675,0.01413,0.26895,0.27963
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,8,0.5,256,1000,35.381,28.264,0.14936,0.08579,0.15538,0.0767,0.1974,0.09818,0.28655,0.01412,0.26895,0.27963
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,10,0.5,256,1000,35.229,28.385,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,12,0.5,256,1000,47.071,21.244,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,14,0.5,256,1000,32.972,30.328,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,16,0.5,256,1000,35.776,27.952,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,18,0.5,256,1000,38.71,25.833,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.5_ndocs256,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,20,0.5,256,1000,48.874,20.461,0.14936,0.08579,0.15538,0.0767,0.19732,0.09814,0.28635,0.01411,0.26895,0.27962
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,1,0.45,1024,1000,55.158,18.13,0.15076,0.08635,0.15723,0.0776,0.21951,0.10212,0.36043,0.01778,0.27125,0.28302
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,2,0.45,1024,1000,73.344,13.634,0.15013,0.08606,0.15658,0.0773,0.21744,0.10163,0.35488,0.01748,0.2699,0.28173
